2bwm 0.2-2
xorg-xrdb 1.1.0-2
xorg-xset 1.2.3-1
xorg-xsetroot 1.1.1-2
xorg-xvinfo 1.1.3-1
xorg-xwininfo 1.1.3-1
xpdf 3.04-5
xproto 7.0.31-1
xsel 1.2.0.20160929-1
xtitle 0.4.2-2
xvidcore 1.3.4-1
xz 5.2.3-1
yabar 0.5.0-1
yajl 2.1.0-1
zathura-git 0.3.7.16.g0ca4789-1
zathura-pdf-poppler-git 0.2.7.5.gb3f9412-1
zenity 3.22.0+1+gcd1647c-1
zip 3.0-7
zita-alsa-pcmi 0.2.0-3
zita-resampler 1.3.0-5
zlib 1:1.2.11-1
zsh 5.3.1-1
zziplib 0.13.62-2
