2bwm 0.2-2
libjpeg-turbo 1.5.1-1
libjpeg6-turbo 1.5.1-1
libksba 1.3.4-2
liblangtag 0.6.2-1
libldap 2.4.44-3
liblqr 0.4.2-1
libmad 0.15.1b-7
libmariadbclient 10.1.21-1
libmikmod 3.3.10-1
libmm-glib 1.6.4-1
libmms 0.6.4-1
libmng 2.0.3-1
libmnl 1.0.4-1
libmodplug 0.8.8.5-2
libmpc 1.0.3-2
libmpdclient 2.10-1
libmspub 0.1.2-6
libmwaw 0.3.10-1
libnfs 1.11.0-1
libnftnl 1.0.7-1
libnl 3.2.29-2
libnm 1.6.0-4
libnm-glib 1.6.0-4
libnotify 0.7.7-1
libodfgen 0.1.6-1
libogg 1.3.2-1
libomxil-bellagio 0.9.3-1
liborcus 0.12.1-1
libpagemaker 0.0.3-1
libpaper 1.1.24-10
libpcap 1.8.1-2
libpciaccess 0.13.4-1
libpipeline 1.4.1-1
libplist 1.12-6
libpng 1.6.28-1
libpng12 1.2.57-1
libproxy 0.4.13-2
libpsl 0.17.0-1
libpulse 10.0-2
libpwquality 1.3.0-2
libraw1394 2.1.2-1
libreoffice-fresh 5.3.0-2
librevenge 0.0.4-1
librsvg 2:2.40.16-1
librtmp0 2.4-1
libsamplerate 0.1.9-1
libsasl 2.1.26-8
libseccomp 2.3.1-1
libsecret 0.18.5-1
libshout 1:2.4.1-2
libsigc++ 2.10.0-1
libsigsegv 2.10-2
libsm 1.2.2-2
libsndfile 1.0.27-1
libsoup 2.56.0-1
libsoxr 0.1.2-1
libspiro 1:0.5.20150702-1
libsrtp 1:1.5.4-1
libssh 0.7.4-1
libssh2 1.8.0-1
libsynctex 2016.41290-10
libsystemd 232-8
libtasn1 4.10-1
libtermkey 0.19-1
libthai 0.1.26-1
libtheora 1.1.1-3
libtiff 4.0.7-2
libtiff4 3.9.7-1
libtirpc 1.0.1-2
libtommath 1.0-1
libtool 2.4.6-7
libtxc_dxtn 1.0.1-6
libudev0-shim 1-2
libunistring 0.9.7-1
libunwind 1.1-3
libupnp 1.6.20-1
libusb 1.0.21-1
libusbmuxd 1.0.10-1
libutempter 1.1.6-2
libutil-linux 2.29.1-1
libuv 1.11.0-1
libva 1.7.3-1
libvdpau 1.1.1-2
libvisio 0.1.5-3
libvisual 0.4.0-6
libvoikko 4.0.2-2
libvorbis 1.3.5-1
libvpx 1.6.1-1
libvpx1.3 1.3.0-1
libvterm 0.1.git1.c4317a6-2
libwacom 0.22-1
libwbclient 4.5.4-1
libwebp 0.5.2-1
libwmf 0.2.8.4-14
libwpd 0.10.1-1
libwpg 0.3.1-1
libwps 0.4.5-1
libwrap 7.6.24-3
libx11 1.6.4-1
libx264 2:148.20160920-1
libxau 1.0.8-2
libxaw 1.0.13-1
libxcb 1.12-1
libxcomposite 0.4.4-2
libxcursor 1.1.14-2
libxdamage 1.1.4-2
libxdg-basedir 1.2.0-3
libxdmcp 1.1.2-1
libxext 1.3.3-1
libxfce4ui 4.12.1-2
libxfce4util 4.12.1-1
libxfixes 5.0.3-1
libxfont 1.5.2-1
libxfont2 2.0.1-1
libxft 2.3.2-1
libxi 1.7.9-1
libxinerama 1.1.3-2
libxkbcommon 0.7.1-1
libxkbcommon-x11 0.7.1-1
libxkbfile 1.0.9-1
libxml2 2.9.4+12+ge905f081-5
libxmu 1.1.2-1
libxp 1.0.3-1
libxpm 3.5.12-1
libxrandr 1.5.1-1
libxrender 0.9.10-1
libxshmfence 1.2-1
libxslt 1.1.29+23+geb1030d-1
libxss 1.2.2-2
libxt 1.1.5-1
libxtst 1.2.3-1
libxv 1.0.11-1
libxvmc 1.0.10-1
libxxf86dga 1.1.4-1
libxxf86vm 1.1.4-1
libyaml 0.1.7-1
libzip 1.1.3-1
libzmf 0.0.1-1
licenses 20140629-1
linux 4.9.8-1
linux-api-headers 4.7-1
linux-firmware 20161222.4b9559f-2
llvm-libs 3.9.1-2
lm_sensors 3.4.0-2
logrotate 3.11.0-1
lpsolve 5.5.2.5-1
lua 5.3.4-1
lua52 5.2.4-2
lvm2 2.02.168-1
lxappearance 0.6.3-1
lz4 1:1.7.5-1
lzo 2.09-1
m4 1.4.18-1
maim 3.4.47-2
make 4.2.1-1
man-db 2.7.6.1-2
man-pages 4.09-1
mariadb 10.1.21-1
mariadb-clients 10.1.21-1
mdadm 3.4-1
media-player-info 22-2
mesa 13.0.4-1
mesa-demos 8.3.0-2
mesa-libgl 13.0.4-1
mime-types 9-1
minecraft latest-26
minizip 1:1.2.11-1
mkinitcpio 22-1
mkinitcpio-busybox 1.25.1-1
mozilla-common 1.4-4
mpc 0.28-1
mpd 0.20.4-1
mpfr 3.1.5.p2-1
mpv 1:0.24.0-1
msgpack-c 2.1.1-1
mtdev 1.1.5-1
mysql-jdbc 5.1.40-1
mysql-python 1.2.5-1
mysql-workbench 6.3.9-1
nano 2.7.4-1
ncmpcpp 0.7.7-4
ncurses 6.0+20170128-1
neofetch 3.0.1-1
neomutt 20170206-1
neon 0.30.2-1
neovim 0.1.7-2
net-tools 1.60.20160710git-1
netcdf 4.4.1-2
netctl 1.12-2
nettle 3.3-1
newsbeuter 2.9-5
